Model,Company,Function,Total Para,Activate Para,On/Off Line,Reasoning
tiiuae/Falcon-H1-0.5B-Instruct,TII / Falcon,General-Purpose,0.5B,0.5B,Offline: Official Hugging Face / Open Weight,No
tiiuae/Falcon-H1-1.5B-Instruct,TII / Falcon,General-Purpose,1.5B,1.5B,Offline: Official Hugging Face / Open Weight,No
tiiuae/Falcon-H1-34B-Instruct,TII / Falcon,General-Purpose,34B,34B,Offline: Official Hugging Face / Open Weight,No
tiiuae/Falcon-H1-3B-Instruct,TII / Falcon,General-Purpose,3B,3B,Offline: Official Hugging Face / Open Weight,No
tiiuae/Falcon-H1-7B-Instruct,TII / Falcon,General-Purpose,7B,7B,Offline: Official Hugging Face / Open Weight,No
Falcon H1 Tiny Coder 90M,TII / Falcon,Coding,90M,90M,Offline: Open Weight,No
Motif-Technologies/Motif-3-Beta,Motif Technologies,General-Purpose,314B,13.2B/token,Offline: Official Hugging Face / Open Weight,Yes
meituan-longcat/LongCat-2.0,Meituan / LongCat,General-Purpose,1.6T,48B/token,Both: LongCat API / Official Hugging Face Open Weight,Yes
nex-agi/Nex-N2-Pro,Nex-AGI,General-Purpose,397B,17B/token,Both: OpenRouter / Official Hugging Face Open Weight,Yes
celeris-1,Celeris,General-Purpose,Undisclosed,Undisclosed,Online: Celeris API,No
mercury-2,Inception Labs,General-Purpose,Undisclosed,Undisclosed,Online: Inception API,Yes
Motif-Technologies/Motif-Audio,Motif Technologies,Speech & Audio,0.8B,0.8B,Offline: Official Hugging Face / Open Weight,No
Motif-Technologies/Motif-Video-2B,Motif Technologies,Video Generation,2B,2B,Offline: Official Hugging Face / Open Weight,No
Motif-Technologies/Motif-2-12.7B-Reasoning,Motif Technologies,General-Purpose,12.7B,12.7B,Offline: Official Hugging Face / Open Weight,Yes
Motif-Technologies/Motif-2-12.7B-Instruct,Motif Technologies,General-Purpose,12.7B,12.7B,Offline: Official Hugging Face / Open Weight,No
Motif-Technologies/Motif-2-12.7B-Base,Motif Technologies,General-Purpose,12.7B,12.7B,Offline: Official Hugging Face / Open Weight,No
Motif-Technologies/Motif-2.6B,Motif Technologies,General-Purpose,2.6B,2.6B,Offline: Official Hugging Face / Open Weight,No
Motif-Technologies/Motif-2.6b-v1.1-LC,Motif Technologies,General-Purpose,2.6B,2.6B,Offline: Official Hugging Face / Open Weight,No
Motif-Technologies/Motif-Image-6B-Preview,Motif Technologies,Image Generation,6B,6B,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Video-Avatar-1.5,Meituan / LongCat,Video Generation,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Next,Meituan / LongCat,General-Purpose,74B,3B/token,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-AudioDiT-1B,Meituan / LongCat,Speech & Audio,1B,1B,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-AudioDiT-3.5B,Meituan / LongCat,Speech & Audio,3.5B,3.5B,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Flash-Prover,Meituan / LongCat,General-Purpose,560B,27B/token,Offline: Official Hugging Face / Open Weight,Yes
meituan-longcat/LongCat-Flash-Lite,Meituan / LongCat,General-Purpose,68.5B,3B/token,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Image-Edit-Turbo,Meituan / LongCat,Image Generation,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Flash-Thinking-ZigZag,Meituan / LongCat,General-Purpose,560B,27B/token,Offline: Official Hugging Face / Open Weight,Yes
meituan-longcat/LongCat-Flash-Thinking-2601,Meituan / LongCat,General-Purpose,560B,27B/token,Offline: Official Hugging Face / Open Weight,Yes
meituan-longcat/LongCat-HeavyMode-Summary,Meituan / LongCat,General-Purpose,560B,27B/token,Offline: Official Hugging Face / Open Weight,Yes
meituan-longcat/LongCat-Video-Avatar,Meituan / LongCat,Video Generation,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Image,Meituan / LongCat,Image Generation,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Image-Edit,Meituan / LongCat,Image Generation,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Image-Dev,Meituan / LongCat,Image Generation,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Flash-Omni,Meituan / LongCat,General-Purpose,560B,27B/token,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Video,Meituan / LongCat,Video Generation,Undisclosed,Undisclosed,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Flash-Thinking,Meituan / LongCat,General-Purpose,560B,27B/token,Offline: Official Hugging Face / Open Weight,Yes
meituan-longcat/LongCat-Flash-Chat,Meituan / LongCat,General-Purpose,560B,27B/token,Offline: Official Hugging Face / Open Weight,No
nex-agi/Nex-N2-mini,Nex-AGI,General-Purpose,35B,3B/token,Both: OpenRouter / Official Hugging Face Open Weight,Yes
nex-agi/DeepSeek-V3.1-Nex-N1,Nex-AGI,General-Purpose,671B,37B/token,Offline: Official Hugging Face / Open Weight,Yes
nex-agi/DeepSeek-V3.1-Nex-N1.1,Nex-AGI,General-Purpose,683B,37B/token,Offline: Official Hugging Face / Open Weight,Yes
nex-agi/internlm3-8B-Nex-N1,Nex-AGI,General-Purpose,9B,9B,Offline: Official Hugging Face / Open Weight,Yes
nex-agi/Qwen3-32B-Nex-N1,Nex-AGI,General-Purpose,33B,33B,Offline: Official Hugging Face / Open Weight,Yes
nex-agi/Qwen3-30B-A3B-Nex-N1,Nex-AGI,General-Purpose,31B,3B/token,Offline: Official Hugging Face / Open Weight,Yes
mercury-edit-2,Inception Labs,Coding,Undisclosed,Undisclosed,Online: Inception API,No
Motif-Technologies/Motif-3,Motif Technologies,General-Purpose,314B,13.2B/token,Offline: Official Hugging Face / Open Weight,Yes
Motif-Technologies/Motif-3-Base,Motif Technologies,General-Purpose,314B,13.2B/token,Offline: Official Hugging Face / Open Weight,No
meituan-longcat/LongCat-Flash-Lite-Sparse,Meituan / LongCat,General-Purpose,69B,3B/token,Offline: Official Hugging Face / Open Weight,No
